id,distance
c31,10.736894037000006
c30,8.635136915000004
c33,8.712701204000004
c34,10.355859091000001
c37,11.780533595999996
c39,9.832253021999996
p160,5.137162470000001
c38,10.041869189999995
p52,6.816802652500001
p51,7.100226635000004
p54,5.630638664999998
p162,7.3159261624999985
p53,5.382111718438726
p161,7.925746924999998
p157,7.907208544999999
p156,7.750705775100648
p55,6.242098268379992
p155,6.653751303869331
p58,5.902454785
p154,5.639488689999999
p57,5.409273462500001
c40,4.204344588999999
c148,12.397226174000002
p61,8.308089715000001
p63,7.369912860000001
p153,3.134232110138498
p394,7.331369569177213
p152,3.1154000007597125
p65,8.15956172931898
p393,6.744626242499998
p151,5.134637435000001
p64,8.429479704999999
p392,6.754349114999999
p150,6.51444255500011
c2,11.367164864000001
p67,4.659728942499998
p66,7.4499308775
c5,7.484092308000002
p144,4.5959487525
p68,6.6829023
c6,18.026423884
p143,4.558656873434262
p70,5.008191781784259
p71,5.244539729999999
p76,6.8517314224999994
c77,9.375796523999998
p92,6.289911240000004
p91,6.096845637500005
p94,6.1600363025328875
p93,6.192937854999994
p483,8.992788019999999
p120,6.147077374999998
p96,6.3430130024532225
p95,6.865544194343862
p10,9.60801519
p113,4.803463627500002
p12,6.593473802779239
p233,6.289303435
p112,4.129886987500003
p199,4.8625496424999906
p14,7.422204549999997
p13,6.162319809999999
p117,6.329661027500001
p116,6.3194086477770375
p15,7.8825907575000045
p115,6.764398455000002
p114,9.607643699999995
p119,6.020047597500001
p118,7.0835787875
p23,8.201383185601602
p24,8.393700525
p1,5.443975900576479
p2,8.294476695000004
c10,9.664670568000002
c13,7.873400882
p4,7.094306072499999
p5,6.3685742175000035
c15,13.711251522000001
p6,6.524001715000003
c14,9.627861780000002
p8,7.059943397499996
c17,1.3754312188980435
p9,7.996705678206813
c18,13.347874335999999
p135,3.759698433270516
p134,4.211583904999994
p133,4.600651467499996
p136,3.9016093400000034
c22,6.737246350000002
c23,10.440332408999998
c26,11.122592379000002
c25,9.987190721000005
c28,9.756426137999991
c27,12.612664750999997
c29,25.489827846836835
p41,8.499791145
p130,6.428132027499999
p43,7.387009450041776
p42,7.125277564999999
p124,7.215502552499996
p45,5.1408721449999994
p123,7.552466007306666
p44,5.33707493104117
p122,6.292237150000006
p47,6.237391968885236
p46,7.660173182119479
p128,6.0570233224999965
p127,5.604944800000004
p48,5.375674784999998
